x,y,label
5048.321100917431,1375.596330275229,cardiac endothelial cell
1526.8370370370371,7647.2555555555555,fibroblast of cardiac tissue
7393.778242677824,7561.230125523012,fibroblast of cardiac tissue
2786.01,7653.745,cardiac muscle myoblast
1140.8909090909092,6376.187878787879,immature innate lymphoid cell
5836.141414141414,1935.3434343434344,cardiac endothelial cell
2858.7566539923955,2620.5855513307984,cardiac muscle myoblast
6440.628352490421,1930.4367816091956,cardiac muscle myoblast
5615.971590909091,2338.3863636363635,cardiac muscle myoblast
3222.009756097561,4393.926829268293,fibroblast of cardiac tissue
4111.317171717172,3128.0969696969696,fibroblast of cardiac tissue
2088.817518248175,7216.631386861314,fibroblast of cardiac tissue
2605.6586826347307,7902.191616766467,cardiac muscle myoblast
2586.8712446351933,7112.244635193133,cardiac endothelial cell
2273.24,3509.213333333333,fibroblast of cardiac tissue
2356.8713692946058,5609.315352697096,fibroblast of cardiac tissue
2820.4469273743016,2149.5530726256984,cardiac endothelial cell
5582.901234567901,3869.885802469136,cardiac muscle myoblast
7728.961887477314,5058.597096188748,fibroblast of cardiac tissue
4375.511278195489,6649.409774436091,fibroblast of cardiac tissue
7960.966480446928,2469.6424581005585,cardiac endothelial cell
2755.446511627907,7223.897674418605,cardiac muscle myoblast
4379.810426540284,7617.227488151659,cardiac muscle myoblast
5566.24584717608,2592.524916943521,fibroblast of cardiac tissue
6353.670520231214,5499.693641618497,immature innate lymphoid cell
1464.909090909091,3263.438016528926,fibroblast of cardiac tissue
7104.089347079038,2212.9003436426115,cardiac muscle myoblast
6702.594713656387,1756.444933920705,cardiac muscle myoblast
4975.037735849057,1305.1967654986522,cardiac muscle myoblast
4674.005847953216,2824.771929824561,cardiac muscle myoblast
4508.018292682927,1467.6371951219512,cardiac muscle myoblast
3450.1724137931037,1511.978448275862,cardiac endothelial cell
3630.455927051672,2548.835866261398,cardiac muscle myoblast
2024.2006920415224,7904.90830449827,cardiac muscle myoblast
4424.595238095239,5692.244047619048,fibroblast of cardiac tissue
7109.952991452991,5044.529914529914,fibroblast of cardiac tissue
7741.229838709677,6563.604838709677,smooth muscle myoblast
3648.755639097744,2123.5075187969924,cardiac endothelial cell
8447.774193548386,2987.5548387096774,cardiac muscle myoblast
3622.6091476091474,2500.051975051975,cardiac muscle myoblast
6504.543689320389,4495.47572815534,fibroblast of cardiac tissue
6594.843575418994,3099.525139664805,fibroblast of cardiac tissue
5399.777173913043,4019.1358695652175,fibroblast of cardiac tissue
3409.2727272727275,1627.5584415584417,fibroblast of cardiac tissue
5695.76,3271.0857142857144,cardiac muscle myoblast
3880.436440677966,2683.3686440677966,cardiac muscle myoblast
4326.162361623617,1849.5682656826568,cardiac muscle myoblast
8204.4802259887,2828.412429378531,cardiac endothelial cell
6327.7056737588655,8291.063829787234,fibroblast of cardiac tissue
5530.916,6673.1,fibroblast of cardiac tissue
4228.535055350553,2720.654981549816,cardiac muscle myoblast
6531.858695652174,4110.201086956522,fibroblast of cardiac tissue
7385.03515625,3972.857421875,cardiac muscle myoblast
2805.616740088106,6886.281938325991,cardiac endothelial cell
5028.868312757201,2665.5185185185187,fibroblast of cardiac tissue
2692.6402116402114,3311.3915343915346,cardiac muscle myoblast
7966.678861788618,4907.955284552845,fibroblast of cardiac tissue
8335.816037735849,5226.245283018868,cardiac endothelial cell
3236.786666666667,1542.5533333333333,fibroblast of cardiac tissue
7583.472103004292,2131.502145922747,cardiac muscle myoblast
3460.1979166666665,2739.4791666666665,cardiac muscle myoblast
4266.809782608696,5160.983695652174,fibroblast of cardiac tissue
4405.438775510204,5988.132653061224,fibroblast of cardiac tissue
7534.246428571429,2906.192857142857,cardiac endothelial cell
2336.230769230769,2858.91452991453,fibroblast of cardiac tissue
3635.283088235294,8456.4375,cardiac muscle myoblast
7750.527397260274,6331.595890410959,fibroblast of cardiac tissue
4016.6277777777777,5435.605555555556,fibroblast of cardiac tissue
3124.2488687782807,5834.076923076923,cardiac muscle myoblast
4384.106060606061,4099.901515151515,fibroblast of cardiac tissue
1845.9820788530467,4006.706093189964,fibroblast of cardiac tissue
5891.364238410596,2022.900662251656,cardiac muscle myoblast
2038.278787878788,5939.509090909091,fibroblast of cardiac tissue
6044.762162162162,3079.048648648649,fibroblast of cardiac tissue
5971.074889867841,3559.84140969163,fibroblast of cardiac tissue
8380.16911764706,4811.764705882353,fibroblast of cardiac tissue
6107.05945945946,2376.3783783783783,cardiac muscle myoblast
2627.2048192771085,2359.8192771084337,cardiac endothelial cell
5683.936,4286.236,cardiac muscle myoblast
3138.941463414634,1926.5073170731707,fibroblast of cardiac tissue
3742.801444043321,2771.6750902527074,cardiac muscle myoblast
5169.337142857143,3212.902857142857,cardiac muscle myoblast
3202.109090909091,4622.581818181819,fibroblast of cardiac tissue
4588.463722397476,3173.3880126182967,fibroblast of cardiac tissue
8139.906403940887,2444.7783251231526,cardiac muscle myoblast
6581.360169491525,2311.254237288136,fibroblast of cardiac tissue
5546.050724637681,2730.2572463768115,cardiac muscle myoblast
8265.535294117648,5445.605882352941,fibroblast of cardiac tissue
2991.5406976744184,6471.601744186047,cardiac muscle myoblast
1099.9935897435898,6028.23717948718,fibroblast of cardiac tissue
8203.963636363636,3718.89393939394,cardiac muscle myoblast
4798.994117647058,5948.929411764706,fibroblast of cardiac tissue
4143.941463414634,4019.6975609756096,cardiac muscle myoblast
3683.716723549488,1601.0307167235494,fibroblast of cardiac tissue
8143.161825726141,5533.327800829876,fibroblast of cardiac tissue
4094.492668621701,2027.434017595308,fibroblast of cardiac tissue
5936.419354838709,4242.38064516129,cardiac muscle myoblast
3653.2125,1677.98125,fibroblast of cardiac tissue
7952.279661016949,4526.372881355932,fibroblast of cardiac tissue
1415.2716535433071,7479.850393700787,fibroblast of cardiac tissue
3417.4373333333333,3358.4906666666666,cardiac muscle myoblast
4086.119047619048,2620.459523809524,cardiac muscle myoblast
3715.063670411985,1884.5992509363296,cardiac muscle myoblast
6258.839662447257,2547.9071729957805,fibroblast of cardiac tissue
8118.7798507462685,2193.787313432836,fibroblast of cardiac tissue
6687.826923076923,1497.857142857143,cardiac muscle myoblast
8286.317460317461,2933.555555555556,cardiac muscle myoblast
6371.450704225352,6595.915492957746,fibroblast of cardiac tissue
8285.92936802974,4275.022304832713,immature innate lymphoid cell
7108.769230769231,5955.1682692307695,fibroblast of cardiac tissue
4214.26048951049,5269.8898601398605,fibroblast of cardiac tissue
8452.149659863946,5316.802721088436,fibroblast of cardiac tissue
8307.335365853658,4884.286585365854,pericyte
2786.733333333333,7365.622222222222,cardiac muscle myoblast
3992.661016949152,1703.8305084745762,cardiac endothelial cell
2102.788961038961,3388.0974025974024,cardiac muscle myoblast
3351.559090909091,5834.304545454545,fibroblast of cardiac tissue
3501.1428571428573,1257.942857142857,cardiac muscle myoblast
8309.99539170507,4201.488479262673,cardiac endothelial cell
2957.162100456621,6589.45205479452,cardiac muscle myoblast
4586.93536121673,1199.3041825095056,cardiac muscle myoblast
3895.148351648352,2304.708791208792,cardiac muscle myoblast
3611.538961038961,1947.5,fibroblast of cardiac tissue
1395.9782608695652,6008.210144927536,fibroblast of cardiac tissue
2119.957746478873,7605.644366197183,cardiac endothelial cell
4639.48717948718,6016.0615384615385,fibroblast of cardiac tissue
6068.519841269841,2032.3968253968253,fibroblast of cardiac tissue
6056.3432835820895,2616.587064676617,cardiac endothelial cell
4370.413461538462,8350.516025641025,fibroblast of cardiac tissue
3804.670241286863,4493.30563002681,cardiac muscle myoblast
3336.2147239263804,7897.907975460122,fibroblast of cardiac tissue
5651.561643835616,3404.3424657534247,fibroblast of cardiac tissue
3278.5438596491226,1130.6608187134502,fibroblast of cardiac tissue
3595.795348837209,7131.051162790698,fibroblast of cardiac tissue
5182.198198198198,1408.7342342342342,fibroblast of cardiac tissue
6631.6375,6657.4875,fibroblast of cardiac tissue
2068.3,7510.869230769231,cardiac muscle myoblast
2760.7276422764226,7452.138211382114,cardiac muscle myoblast
6529.712598425197,5448.1259842519685,immature innate lymphoid cell
2422.3063063063064,6722.810810810811,native cell
8413.690909090908,5568.545454545455,fibroblast of cardiac tissue
4613.179297597043,3403.184842883549,cardiac muscle myoblast
5547.714285714285,7840.489177489178,fibroblast of cardiac tissue
3814.505102040816,1329.0484693877552,cardiac endothelial cell
8455.330508474577,6528.970338983051,smooth muscle myoblast
